id,year,team,game,win,lose,draw,batting,era,odds,rank
t1503,2015,두산,144,79,65,0,0.29,5.02,0.5489999999999999,1
t1508,2015,삼성,144,88,56,0,0.302,4.69,0.611,2
t1501,2015,NC,144,84,57,3,0.289,4.26,0.596,3
t1502,2015,넥센,144,78,65,1,0.298,4.91,0.545,4
t1509,2015,SK,144,69,73,2,0.272,4.71,0.486,5
t1510,2015,한화,144,68,76,0,0.271,5.11,0.47200000000000003,6
t1505,2015,KIA,144,67,77,0,0.251,4.79,0.465,7
t1506,2015,롯데,144,66,77,1,0.28,5.07,0.462,8
t1504,2015,LG,144,64,78,2,0.26899999999999996,4.62,0.451,9
t1507,2015,KT,144,52,91,1,0.273,5.56,0.364,10
t1603,2016,두산,144,93,50,1,0.298,4.45,0.65,1
t1601,2016,NC,144,83,58,3,0.29100000000000004,4.48,0.589,2
t1602,2016,넥센,144,77,66,1,0.293,4.96,0.5379999999999999,3
t1604,2016,LG,144,71,71,2,0.29,5.04,0.5,4
t1605,2016,KIA,144,70,73,1,0.28600000000000003,4.97,0.49,5
t1609,2016,SK,144,69,75,0,0.29100000000000004,4.87,0.479,6
t1610,2016,한화,144,66,75,3,0.289,5.76,0.46799999999999997,7
t1606,2016,롯데,144,66,78,0,0.28800000000000003,5.63,0.45799999999999996,8
t1608,2016,삼성,144,65,78,1,0.293,5.64,0.455,9
t1607,2016,KT,144,53,89,2,0.276,5.92,0.373,10
t1705,2017,KIA,144,87,56,1,0.302,4.79,0.608,1
t1703,2017,두산,144,84,57,3,0.294,4.38,0.596,2
t1706,2017,롯데,144,80,62,2,0.285,4.56,0.563,3
t1701,2017,NC,144,79,62,3,0.293,4.71,0.56,4
t1709,2017,SK,144,75,68,1,0.271,5.02,0.524,5
t1704,2017,LG,144,69,72,3,0.281,4.3,0.489,6
t1702,2017,넥센,144,69,73,2,0.29,5.03,0.486,7
t1710,2017,한화,144,61,81,2,0.287,5.28,0.43,8
t1708,2017,삼성,144,55,84,5,0.27899999999999997,5.88,0.396,9
t1707,2017,KT,144,50,94,0,0.275,5.75,0.34700000000000003,10
t1809,2018,SK,144,78,65,1,0.281,4.67,0.545,1
t1803,2018,두산,144,93,51,0,0.309,4.98,0.6459999999999999,2
t1810,2018,한화,144,77,67,0,0.275,4.93,0.535,3
t1802,2018,넥센,144,75,69,0,0.28800000000000003,5.08,0.521,4
t1805,2018,KIA,144,70,74,0,0.295,5.4,0.486,5
t1808,2018,삼성,144,68,72,4,0.28800000000000003,5.19,0.486,6
t1806,2018,롯데,144,68,74,2,0.289,5.37,0.479,7
t1804,2018,LG,144,68,75,1,0.293,5.29,0.47600000000000003,8
t1807,2018,KT,144,59,82,3,0.275,5.34,0.418,9
t1801,2018,NC,144,58,85,1,0.261,5.48,0.406,10
t1903,2019,두산,144,88,55,1,0.278,3.51,0.615,1
t1902,2019,키움,144,86,57,1,0.282,3.61,0.601,2
t1909,2019,SK,144,88,55,1,0.262,3.48,0.615,3
t1904,2019,LG,144,79,64,1,0.267,3.86,0.552,4
t1901,2019,NC,144,73,69,2,0.278,4.01,0.514,5
t1907,2019,KT,144,71,71,2,0.27699999999999997,4.29,0.5,6
t1905,2019,KIA,144,62,80,2,0.264,4.65,0.43700000000000006,7
t1908,2019,삼성,144,60,83,1,0.256,4.64,0.42,8
t1910,2019,한화,144,58,86,0,0.256,4.8,0.40299999999999997,9
t1906,2019,롯데,144,48,93,3,0.25,4.83,0.34,10
